school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,part_time_job
GP,M,21,U,GT3,T,1,2,other,other,home,father,2,1,0,no,no,yes,yes,yes,yes,yes,no,2,2,4,5,3,3,7,11,13,10,no
MS,F,19,R,LE3,T,3,0,at_home,at_home,home,other,3,3,0,yes,no,no,yes,yes,no,no,no,2,5,5,2,1,5,22,9,10,14,yes
MS,M,22,U,LE3,A,2,1,other,other,course,father,4,1,3,no,yes,yes,no,yes,yes,yes,yes,3,2,5,4,4,4,27,7,8,7,no
GP,M,17,U,GT3,T,4,3,at_home,health,reputation,other,3,1,1,yes,yes,yes,yes,no,no,no,no,3,2,1,4,4,4,18,12,6,14,no
GP,F,20,R,GT3,A,2,1,at_home,services,course,father,4,4,3,yes,yes,no,yes,yes,no,yes,no,2,5,3,5,3,1,20,20,1,20,no
MS,M,22,R,GT3,T,2,0,teacher,at_home,other,other,1,3,1,no,no,no,no,no,no,yes,no,3,4,3,4,4,2,15,8,5,16,yes
GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,13,14,15,no
GP,M,21,U,GT3,T,0,2,health,at_home,reputation,mother,1,4,0,no,no,yes,no,no,yes,no,no,3,2,5,1,3,1,5,19,14,2,yes
GP,M,22,U,GT3,A,3,4,services,health,course,mother,2,1,0,no,yes,yes,no,yes,yes,yes,no,4,5,5,2,4,4,9,10,13,14,yes
GP,M,19,U,LE3,T,1,4,teacher,health,home,other,1,3,1,yes,yes,yes,yes,yes,no,yes,no,5,4,2,3,1,1,16,7,9,10,no
GP,M,15,U,LE3,T,0,4,at_home,teacher,home,other,4,2,0,no,no,no,no,yes,yes,no,no,5,1,4,1,2,5,5,14,17,16,yes
MS,M,20,R,LE3,T,4,0,teacher,health,other,father,3,2,0,yes,no,no,no,yes,no,yes,no,3,3,2,5,5,5,7,18,20,20,no
GP,M,16,R,GT3,A,2,0,health,teacher,reputation,other,1,3,1,yes,yes,yes,yes,yes,yes,yes,yes,2,1,2,4,5,5,4,2,7,13,yes
GP,M,19,U,LE3,A,0,3,services,teacher,home,mother,2,2,2,no,no,yes,yes,no,yes,no,yes,5,5,3,3,2,4,28,17,20,16,no
GP,F,17,U,GT3,A,3,1,teacher,other,other,mother,2,4,0,yes,yes,no,no,no,no,no,no,4,5,3,1,5,2,29,11,11,9,yes
MS,M,19,U,LE3,T,4,4,other,services,reputation,father,2,1,1,yes,yes,yes,no,yes,no,no,no,3,4,3,5,1,2,27,5,2,0,no
GP,M,16,R,GT3,T,0,4,teacher,services,other,father,4,3,1,no,yes,yes,no,yes,no,yes,no,5,3,5,5,5,3,12,9,9,20,yes
MS,M,18,U,LE3,A,3,2,at_home,health,other,father,3,4,0,no,no,yes,no,yes,no,no,no,5,4,1,2,5,4,0,17,18,17,no
GP,M,20,U,LE3,A,4,0,at_home,teacher,home,father,3,4,0,no,yes,no,no,yes,yes,no,yes,1,2,2,5,1,2,1,17,20,20,yes
GP,M,17,R,GT3,T,4,2,teacher,services,course,mother,1,3,2,no,no,no,yes,no,no,yes,no,5,2,2,5,1,4,20,12,12,13,yes
MS,F,17,R,LE3,T,1,3,at_home,services,course,father,4,1,0,yes,yes,yes,yes,yes,no,no,no,2,3,3,3,5,4,7,5,7,8,yes
MS,M,18,U,GT3,A,3,2,teacher,services,reputation,mother,4,1,3,no,no,no,no,no,no,no,no,2,5,4,5,1,1,5,8,11,11,yes
MS,F,20,U,LE3,T,1,4,health,other,reputation,father,1,2,0,no,yes,yes,yes,yes,no,yes,yes,1,1,4,5,5,1,20,11,7,6,no
GP,M,22,R,GT3,T,0,1,other,other,course,mother,4,1,0,no,no,no,no,no,no,yes,yes,1,3,2,1,5,4,19,19,20,19,yes
GP,F,18,U,LE3,A,4,1,health,services,course,other,1,1,0,yes,no,yes,yes,yes,no,no,no,5,2,3,2,3,3,17,17,20,16,yes
GP,F,16,U,GT3,T,3,4,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,12,5,5,5,yes
MS,F,17,U,GT3,A,3,3,at_home,services,home,father,1,1,3,yes,no,yes,yes,no,yes,yes,no,4,1,4,3,2,5,10,13,19,8,no
GP,F,15,R,GT3,T,3,4,other,health,course,father,4,3,0,no,no,yes,no,yes,no,yes,no,3,2,3,1,1,3,20,7,4,7,no
GP,F,16,U,LE3,T,1,0,teacher,health,home,father,3,1,0,no,no,yes,yes,yes,yes,no,no,2,3,3,1,3,3,18,8,7,7,yes
MS,M,16,U,LE3,T,3,2,teacher,at_home,other,mother,1,3,0,yes,no,no,no,yes,yes,no,no,2,4,1,5,1,2,6,18,14,12,no
MS,M,20,U,LE3,T,3,0,health,teacher,home,mother,1,2,0,no,yes,no,yes,no,yes,yes,yes,1,2,1,2,5,1,27,5,6,4,no
MS,M,22,U,GT3,T,0,3,at_home,at_home,other,mother,3,4,0,yes,yes,yes,yes,yes,no,yes,no,1,3,3,4,2,5,18,16,14,18,yes
GP,M,17,U,LE3,T,2,2,other,other,home,father,1,2,0,no,no,yes,yes,no,yes,yes,yes,4,4,2,5,5,4,4,14,13,13,yes
MS,F,18,R,GT3,A,4,1,at_home,teacher,reputation,other,2,4,3,yes,yes,yes,no,no,yes,no,yes,3,4,3,3,3,2,26,8,11,9,no
GP,M,17,U,LE3,A,4,3,teacher,services,course,mother,1,2,3,no,yes,yes,yes,no,no,yes,no,2,5,4,4,2,3,16,0,9,10,yes
MS,F,20,U,GT3,A,1,1,teacher,services,course,mother,2,3,1,no,yes,no,no,no,yes,yes,no,2,1,4,1,2,5,10,15,13,14,yes
GP,M,16,R,LE3,T,1,4,health,at_home,other,mother,3,2,0,no,yes,no,yes,no,no,yes,yes,5,3,3,2,1,2,21,7,5,1,yes
MS,M,20,R,GT3,A,0,0,teacher,health,other,father,4,2,2,yes,no,yes,no,yes,no,no,no,3,5,3,3,1,5,5,14,12,18,yes
MS,F,19,R,GT3,A,0,3,teacher,health,other,mother,4,3,0,no,yes,no,no,yes,no,yes,yes,4,5,3,2,5,2,27,12,11,14,no
MS,M,18,R,LE3,A,3,1,health,at_home,home,mother,1,3,0,no,yes,no,yes,no,no,no,no,5,1,5,5,5,4,14,11,13,17,yes
GP,F,22,R,GT3,T,3,2,services,services,other,mother,2,3,0,no,yes,yes,no,yes,yes,yes,no,5,1,4,1,1,1,22,12,15,11,no
MS,M,16,U,GT3,T,0,2,health,other,other,mother,2,2,0,yes,yes,no,yes,yes,yes,no,no,5,2,2,4,1,2,28,19,18,19,no
MS,M,19,R,LE3,T,4,3,health,health,home,mother,1,2,1,yes,no,no,yes,yes,yes,yes,yes,2,3,1,4,3,1,24,17,15,16,yes
GP,M,20,U,GT3,A,4,2,at_home,other,home,mother,3,3,0,yes,no,yes,yes,no,no,no,yes,2,2,2,3,5,1,12,15,19,20,yes
GP,F,17,R,LE3,T,1,2,services,other,course,father,3,3,0,no,no,yes,no,yes,yes,yes,no,3,3,4,5,1,1,21,18,17,19,no
MS,M,16,U,LE3,A,3,2,teacher,services,course,father,2,4,0,no,yes,no,no,no,yes,yes,yes,3,5,2,4,5,5,24,14,12,11,no
GP,F,17,U,LE3,T,1,4,health,health,other,other,4,1,0,yes,no,no,yes,yes,no,yes,no,1,2,3,4,5,3,20,17,16,17,no
GP,M,19,U,LE3,T,2,2,other,services,reputation,mother,4,1,0,no,yes,no,no,no,yes,yes,no,1,3,5,1,5,5,23,9,8,12,no
MS,M,16,R,GT3,A,2,0,services,health,other,mother,3,2,0,yes,yes,yes,yes,yes,no,yes,yes,2,3,2,3,5,2,1,8,10,6,yes
MS,F,18,U,GT3,A,3,2,teacher,at_home,other,mother,4,1,0,no,no,no,no,no,yes,yes,yes,5,2,3,2,3,4,16,18,18,16,yes
MS,F,16,R,GT3,A,3,3,health,at_home,other,other,4,2,0,no,no,yes,yes,no,no,no,no,1,1,2,4,4,2,22,13,11,15,no
GP,M,22,U,GT3,A,2,0,services,services,course,other,1,2,0,no,no,yes,no,no,no,no,no,3,2,4,3,3,5,22,15,17,20,yes
GP,F,20,U,LE3,A,2,0,at_home,services,other,other,3,2,0,no,no,no,no,yes,no,yes,yes,2,4,2,4,5,2,3,11,12,9,yes
MS,M,18,U,LE3,A,4,1,at_home,other,other,mother,3,1,0,yes,yes,no,no,no,yes,yes,no,1,5,4,2,1,2,3,9,11,15,no
GP,M,15,U,GT3,T,4,0,at_home,teacher,other,mother,4,3,0,yes,yes,yes,no,no,no,yes,no,2,4,3,1,5,4,4,10,9,10,yes
GP,M,17,R,GT3,T,1,1,other,health,other,other,1,1,0,no,no,no,no,no,no,yes,no,5,4,5,4,5,2,1,4,5,7,no
MS,F,18,R,GT3,A,0,4,other,other,other,mother,3,1,0,yes,yes,yes,yes,no,no,yes,yes,3,1,4,5,5,2,13,17,13,9,yes
GP,F,21,R,LE3,A,3,4,at_home,services,reputation,other,2,2,0,yes,yes,yes,no,yes,no,no,yes,2,3,5,5,3,1,7,14,16,20,yes
MS,F,16,R,GT3,A,3,0,services,other,course,mother,3,2,3,no,yes,yes,no,no,no,no,no,4,1,1,5,4,5,15,13,17,17,yes
GP,M,22,U,LE3,T,0,1,health,at_home,home,father,2,4,0,no,yes,no,yes,yes,yes,yes,yes,1,4,3,2,3,1,8,6,8,7,yes
MS,F,18,R,LE3,A,4,2,services,at_home,course,father,1,1,0,yes,no,yes,no,no,yes,yes,yes,2,3,1,1,1,4,18,12,16,4,no
MS,F,18,R,LE3,T,2,0,other,health,other,other,2,3,0,no,yes,no,no,no,no,no,yes,2,3,2,2,4,3,16,15,14,17,yes
MS,F,15,R,LE3,T,4,0,services,services,course,other,3,2,3,yes,yes,no,no,no,yes,yes,no,3,4,2,1,1,2,9,11,15,11,yes
GP,M,15,U,LE3,T,2,3,teacher,other,home,mother,4,2,3,yes,no,no,no,yes,no,yes,no,3,2,2,4,5,3,16,9,18,10,yes
GP,M,15,U,LE3,A,2,0,health,other,other,father,2,1,0,no,no,no,yes,no,yes,yes,yes,5,2,3,1,1,4,11,18,19,17,yes
GP,F,21,U,GT3,T,2,3,health,at_home,home,other,4,4,0,no,no,no,no,yes,no,yes,no,3,5,1,4,4,3,29,10,8,4,yes
GP,M,21,R,LE3,T,0,2,other,health,other,mother,3,4,0,yes,no,no,yes,yes,yes,yes,yes,2,2,4,5,1,5,27,7,6,2,no
MS,M,22,U,GT3,A,2,1,other,other,other,mother,1,1,0,yes,no,yes,yes,no,yes,no,no,4,3,3,5,1,4,2,16,13,10,yes
GP,M,22,U,LE3,A,3,1,other,health,reputation,father,4,2,0,no,yes,no,no,yes,no,no,yes,3,2,5,2,3,3,0,11,9,13,yes
MS,M,19,U,GT3,A,1,0,health,teacher,reputation,father,4,4,0,no,yes,no,no,no,yes,yes,no,4,5,2,1,2,4,23,19,20,20,yes
GP,F,15,U,GT3,T,0,0,health,health,course,mother,2,3,0,yes,yes,yes,no,no,no,no,no,2,1,5,5,1,2,11,4,1,3,yes
GP,M,19,U,GT3,A,1,3,other,at_home,home,father,3,3,0,no,yes,no,yes,no,no,yes,yes,5,4,1,1,1,3,23,5,4,1,yes
GP,F,15,U,GT3,A,3,4,services,teacher,home,other,4,2,0,no,yes,no,yes,no,no,yes,yes,2,5,3,1,1,3,20,11,14,17,yes
MS,M,20,R,GT3,A,2,2,other,teacher,reputation,father,4,3,0,no,no,yes,yes,no,yes,yes,yes,3,4,4,1,2,4,0,17,20,18,yes
MS,F,17,R,LE3,T,1,1,services,teacher,reputation,other,3,4,0,yes,yes,no,yes,yes,yes,yes,yes,3,1,2,2,5,3,0,15,15,19,yes
GP,M,20,U,GT3,A,3,1,health,other,reputation,other,4,3,0,yes,no,yes,yes,no,no,no,no,2,2,1,3,2,2,24,7,3,3,yes
MS,F,20,R,GT3,A,4,3,services,other,other,father,1,2,0,yes,no,yes,no,no,no,yes,yes,2,5,2,4,5,3,3,18,14,12,yes
GP,F,17,R,LE3,A,2,2,other,teacher,other,other,1,3,0,yes,no,no,no,no,no,no,no,5,1,4,5,1,2,16,13,11,12,yes
MS,M,16,U,LE3,A,4,1,teacher,teacher,home,father,3,2,2,yes,no,no,no,no,no,yes,yes,4,3,3,2,4,1,2,18,11,20,no
GP,M,21,U,GT3,A,2,2,at_home,at_home,course,other,2,4,3,yes,no,no,yes,no,yes,yes,yes,4,4,2,5,3,3,2,16,15,14,no
GP,F,19,U,LE3,T,3,1,other,at_home,course,other,2,2,0,yes,no,no,no,no,yes,yes,yes,2,5,3,2,4,5,10,4,7,6,yes
MS,M,16,R,LE3,T,3,0,services,at_home,home,other,3,3,0,no,yes,no,yes,no,no,no,yes,5,3,3,4,4,2,11,17,18,17,no
MS,F,22,R,LE3,T,3,3,teacher,teacher,course,father,2,1,0,no,yes,no,yes,no,yes,yes,yes,1,1,4,4,3,1,10,6,9,6,yes
GP,M,19,R,GT3,A,3,0,teacher,services,course,father,3,4,3,no,no,yes,no,no,no,no,no,5,3,3,2,3,2,25,5,1,3,yes
MS,F,21,U,LE3,T,3,4,services,at_home,reputation,other,4,4,0,yes,yes,yes,yes,yes,yes,yes,yes,4,3,1,1,3,4,1,18,18,20,yes
GP,M,22,U,GT3,A,3,4,at_home,other,other,mother,2,3,1,no,no,no,yes,no,yes,yes,yes,3,2,2,3,1,3,25,11,8,7,no
MS,M,18,R,LE3,A,3,2,services,services,course,father,4,2,0,no,no,yes,yes,no,yes,yes,no,5,1,3,5,2,4,19,6,4,5,yes
GP,F,22,R,LE3,A,3,3,health,health,other,other,3,4,0,yes,yes,yes,yes,yes,no,yes,no,5,1,3,2,4,2,5,19,20,20,no
GP,F,15,R,GT3,A,1,1,other,health,course,other,3,2,0,no,yes,no,no,no,yes,no,no,4,1,3,2,1,2,24,9,5,8,yes
GP,M,22,R,GT3,T,4,4,services,other,course,other,1,3,0,yes,yes,no,no,no,no,no,no,2,5,1,2,4,3,22,10,9,10,no
GP,F,18,U,GT3,T,2,1,services,other,course,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,5,3,3,1,2,1,0,8,8,0,no
GP,F,20,U,GT3,T,4,3,teacher,other,course,other,1,3,0,yes,no,yes,yes,no,no,yes,no,4,2,1,5,1,1,24,13,11,15,no
GP,M,22,R,LE3,A,3,2,at_home,other,course,mother,3,1,1,yes,yes,yes,yes,yes,no,no,no,3,5,5,5,4,1,4,18,14,11,yes
GP,M,18,U,GT3,T,3,2,health,other,home,other,1,2,3,yes,yes,no,no,no,no,yes,yes,4,4,3,2,1,2,1,10,0,7,no
GP,M,22,U,GT3,A,1,1,at_home,health,reputation,mother,2,1,0,yes,yes,yes,yes,no,no,no,yes,2,2,5,3,3,4,25,14,10,9,yes
MS,M,17,R,LE3,T,2,1,other,other,home,other,2,1,2,yes,no,yes,yes,no,no,no,yes,4,2,1,3,1,2,23,9,8,11,no
MS,M,15,U,LE3,T,1,2,health,other,home,father,1,4,1,no,no,yes,no,no,yes,no,yes,5,3,1,1,1,1,25,5,2,6,no
GP,F,17,U,LE3,A,3,2,services,at_home,reputation,mother,2,2,1,no,no,no,yes,yes,no,no,yes,3,2,4,2,2,5,25,16,17,19,yes
GP,M,20,U,LE3,A,1,3,services,health,reputation,father,1,2,1,no,no,no,no,no,no,yes,yes,3,5,2,5,3,5,6,5,5,13,yes
GP,M,19,R,LE3,T,2,2,health,health,home,mother,4,1,0,no,yes,no,yes,no,no,yes,no,2,4,3,1,4,1,28,8,10,12,yes
MS,M,19,U,LE3,A,1,2,services,health,course,mother,3,3,0,no,no,no,yes,yes,no,no,no,5,5,4,4,1,2,8,20,6,14,no
GP,F,20,U,LE3,T,1,2,other,health,home,mother,3,1,0,yes,yes,yes,no,yes,no,no,yes,4,3,4,2,2,4,29,14,12,14,no
MS,F,18,U,LE3,A,0,3,at_home,services,reputation,father,3,4,0,yes,yes,no,yes,yes,yes,no,no,3,1,2,2,5,5,5,7,10,10,no
GP,M,18,R,GT3,A,4,1,health,teacher,other,father,2,2,2,yes,yes,yes,no,yes,yes,no,yes,3,3,1,1,5,1,13,15,19,20,yes
GP,F,17,R,GT3,A,1,0,teacher,at_home,course,other,2,1,0,yes,yes,no,no,yes,yes,no,no,3,5,1,5,4,4,12,14,15,15,no
MS,M,19,R,GT3,A,3,1,teacher,services,reputation,father,1,3,1,yes,no,yes,yes,no,yes,no,no,4,2,1,3,1,2,5,4,18,7,yes
MS,F,20,U,LE3,A,0,4,teacher,other,other,mother,3,4,3,no,yes,yes,no,no,no,no,no,1,5,5,3,5,5,13,4,11,19,yes
MS,F,17,R,GT3,T,4,3,services,at_home,reputation,father,4,2,0,no,no,yes,yes,no,no,yes,no,4,1,2,2,2,3,8,17,1,9,yes
MS,M,19,U,GT3,A,0,0,at_home,at_home,other,mother,3,2,0,yes,yes,no,yes,no,yes,yes,no,2,3,2,4,4,1,16,7,3,0,no
GP,M,19,U,GT3,T,1,0,other,teacher,other,mother,2,4,1,yes,yes,yes,no,no,no,yes,yes,2,4,3,1,3,2,21,6,4,4,yes
GP,M,15,U,LE3,A,2,1,services,other,course,mother,4,1,3,no,no,no,no,yes,yes,yes,no,4,5,5,2,5,5,0,8,9,10,yes
MS,F,17,R,GT3,A,2,4,health,services,home,mother,4,3,1,no,yes,no,yes,yes,yes,yes,yes,2,1,5,4,3,2,1,7,4,3,yes
MS,F,15,U,LE3,T,2,2,services,health,other,mother,3,3,0,yes,no,no,no,no,no,no,no,5,4,3,4,2,3,15,6,10,14,no
GP,F,21,U,LE3,A,3,1,at_home,health,course,mother,4,1,0,yes,yes,no,yes,yes,no,yes,yes,2,4,5,5,3,1,7,12,8,6,no
MS,M,21,R,GT3,T,3,4,other,health,home,other,3,4,0,yes,no,no,no,no,no,yes,yes,4,4,5,4,3,1,12,17,19,18,no
GP,M,16,R,LE3,T,2,3,other,other,home,mother,1,3,0,no,yes,no,yes,no,yes,no,yes,3,2,3,4,5,4,26,9,9,10,no
GP,M,22,U,LE3,T,1,2,teacher,services,other,other,1,4,0,yes,no,no,yes,no,no,no,yes,3,3,1,5,2,2,20,13,11,7,no
MS,M,20,R,GT3,A,2,2,teacher,at_home,course,mother,1,2,0,yes,yes,no,yes,yes,yes,no,yes,4,4,2,3,2,2,29,11,13,17,yes
GP,F,16,U,GT3,T,3,1,services,health,reputation,father,4,3,0,yes,yes,yes,no,no,no,yes,no,2,2,5,1,3,4,21,11,12,16,yes
GP,M,16,R,GT3,T,1,0,teacher,at_home,other,other,2,2,3,yes,yes,yes,yes,yes,no,yes,no,3,1,2,2,3,5,4,1,2,10,no
MS,M,17,R,LE3,A,3,3,health,services,other,mother,4,1,3,yes,yes,yes,yes,yes,no,no,yes,2,5,4,2,5,4,10,12,2,15,yes
GP,M,18,U,LE3,T,1,3,teacher,health,other,mother,3,1,3,no,no,no,no,yes,yes,yes,yes,3,2,5,3,1,5,16,5,9,5,yes
GP,F,22,R,LE3,A,2,4,other,services,reputation,other,2,4,3,yes,yes,yes,yes,no,no,yes,yes,5,2,4,5,2,5,4,15,7,4,no
MS,F,22,R,LE3,T,2,4,services,teacher,reputation,other,3,2,0,no,yes,no,yes,yes,no,no,yes,4,3,4,5,1,1,10,20,4,12,yes
MS,M,15,U,LE3,A,0,0,teacher,services,home,other,1,2,0,no,no,no,no,yes,yes,no,yes,3,5,1,4,2,4,5,15,15,18,yes
GP,F,16,U,GT3,A,1,0,at_home,teacher,other,other,3,4,0,no,no,yes,yes,no,no,no,no,3,3,2,2,1,2,19,11,13,14,no
MS,F,16,R,GT3,T,3,0,teacher,other,home,other,4,4,0,yes,no,no,no,yes,no,no,no,4,1,1,5,2,2,5,15,13,13,no
MS,M,21,U,GT3,T,4,3,at_home,at_home,reputation,father,4,4,0,no,yes,no,no,no,no,yes,no,3,5,3,2,1,4,25,8,7,10,no
GP,M,19,U,LE3,A,4,2,health,other,course,mother,2,4,0,no,no,no,yes,yes,no,yes,yes,5,1,1,2,5,1,21,11,7,11,yes
GP,M,15,U,GT3,A,0,0,other,other,reputation,father,2,2,0,yes,no,no,no,no,yes,yes,no,4,2,5,1,5,1,19,15,14,15,yes
GP,M,19,U,LE3,T,1,0,at_home,services,other,father,3,3,0,no,yes,yes,yes,no,no,yes,yes,2,2,2,1,3,2,1,16,16,13,no
MS,M,16,R,LE3,A,2,4,other,health,reputation,mother,2,2,0,yes,yes,no,no,yes,yes,yes,no,2,5,2,2,4,1,5,19,17,20,yes
GP,F,20,U,LE3,T,3,2,at_home,other,course,father,1,1,2,no,yes,no,yes,yes,yes,yes,no,3,5,1,1,5,1,27,11,13,14,no
GP,F,16,U,GT3,A,4,1,other,at_home,other,other,1,3,0,no,yes,no,yes,no,yes,yes,no,1,5,1,5,2,3,15,18,19,20,yes
GP,F,20,R,LE3,A,0,0,other,at_home,other,father,2,3,3,no,yes,no,no,yes,yes,yes,no,3,5,4,3,3,4,17,20,19,19,no
MS,M,22,U,GT3,A,0,3,at_home,health,course,mother,3,4,0,no,yes,yes,yes,no,yes,yes,yes,3,4,2,2,1,4,2,6,5,3,yes
GP,M,15,R,LE3,T,2,2,at_home,services,reputation,mother,3,1,0,no,no,no,no,no,yes,no,yes,2,1,3,4,1,5,24,9,5,1,no
GP,F,17,U,LE3,T,2,2,services,services,course,father,1,4,0,no,no,yes,yes,yes,yes,yes,yes,3,4,1,1,1,2,0,10,9,0,no
GP,M,18,U,GT3,T,4,1,at_home,health,home,mother,1,2,0,yes,no,no,no,no,no,yes,no,5,4,3,4,4,4,11,5,6,5,no
GP,M,15,U,GT3,A,2,4,other,teacher,other,mother,1,1,0,yes,yes,no,no,yes,no,no,yes,4,2,2,4,5,1,8,17,20,17,yes
MS,F,20,R,LE3,T,2,1,other,services,course,father,1,3,2,no,yes,yes,no,yes,no,no,yes,1,5,2,3,1,3,5,4,14,14,no
MS,F,15,R,GT3,A,3,1,at_home,services,course,father,2,4,0,yes,no,no,no,yes,no,no,no,2,3,3,2,5,4,2,7,7,7,no
GP,F,16,U,GT3,T,2,3,at_home,teacher,other,other,1,4,0,yes,yes,yes,no,yes,no,no,yes,3,1,2,3,1,2,17,15,14,12,no
GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0,8,8,11,yes
MS,M,17,R,GT3,A,1,3,health,other,home,mother,1,4,0,no,no,yes,yes,yes,no,yes,no,2,2,3,4,5,1,18,11,11,10,yes
MS,F,19,U,GT3,A,4,3,teacher,other,other,mother,2,4,3,yes,yes,no,yes,yes,yes,yes,yes,4,1,4,3,1,1,16,14,20,1,no
